Age,waa,maa,M,F,Stock,Reference,Order,Family,Genus,Species,Max_age
16,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
17,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
18,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
19,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
20,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
21,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
22,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
23,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
24,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
25,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
26,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
27,1.921377023,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
2,0.476174849,0,0.23,0.385849375,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
3,0.945139781,0.5,0.23,0.884329618,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
4,1.578340045,1,0.23,1,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
5,2.371005771,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
6,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
7,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
8,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
9,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
10,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
11,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
12,3.715789038,1,0.23,0.840932118,Hirame-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
1,0.13,0,0.08,0.115954227,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
2,0.342,0.04,0.31,0.441520856,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
3,0.842,0.635,0.31,0.889863418,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
4,1.675,0.865,0.31,0.976744186,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
5,2.676,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
6,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
7,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
8,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
9,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
10,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
11,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
12,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
13,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
14,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
15,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
16,3.895,1,0.31,0.90952381,Hirame-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
2,0.21,0,0.2,0.202479617,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
3,0.51,0.5,0.2,0.587494104,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
4,0.92,1,0.2,0.898086382,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
5,1.41,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
6,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
7,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
8,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
9,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
10,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
11,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
12,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
13,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
14,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
15,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
16,2.91,1,0.2,1,HirameN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
2,0.13,0,0.208,0.325638987,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
3,0.76,0.5,0.208,0.564190888,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
4,1.97,1,0.208,0.727491066,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
5,3.5,1,0.208,1,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
6,4.04,1,0.208,0.719674426,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
7,5.23,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
8,11.27,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
9,11.27,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
10,11.27,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
11,11.27,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
12,11.27,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
13,11.27,1,0.208,0.750112103,HirameW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
2,0.02,0,0.35,0.252854406,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
3,0.058,0.4,0.35,0.764070881,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
4,0.12,1,0.35,1,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
5,1.88,1,0.35,1,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
6,3.31,1,0.35,1,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
7,3.31,1,0.35,1,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
8,3.31,1,0.35,1,Mushigarei-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
2,0.024424396,0,0.25,0.026289683,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
3,0.04783854,0.3,0.25,0.125992063,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
4,0.070288686,0.95,0.25,0.426421958,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
5,0.098871436,1,0.25,0.653108466,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
6,0.146293325,1,0.25,0.486111111,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
7,0.187683514,1,0.25,0.896825397,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
8,0.299280093,1,0.25,0.896825397,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
9,0.299280093,1,0.25,0.896825397,Yanagimushigare-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
2,0.0566,0,0.3,0.18,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
3,0.0962,0,0.3,1.22,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
4,0.1405,1,0.3,1,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
5,0.2824,1,0.3,1,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
6,0.2824,1,0.3,1,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
7,0.2824,1,0.3,1,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
8,0.2824,1,0.3,1,Souhachi-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
1,0.144666667,0,0.25,0.523846888,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
2,1.018333333,0,0.25,0.312729772,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
3,1.714666667,0.5,0.25,0.525213342,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
4,2.247333333,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
5,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
6,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
7,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
8,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
9,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
10,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
11,2.935666667,1,0.25,1,Torafugu-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
1,0.164,0,0.25,0.348713541,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
2,1.03,0,0.25,0.875687306,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
3,1.638,0.5,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
4,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
5,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
6,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
7,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
8,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
9,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
10,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
11,2.868,1,0.25,1,Torafugu-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
