Age,waa,maa,M,F,Stock,Reference,Order,Family,Genus,Species,Max_age
11,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
12,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
1,0.11,0.00,0.08,0.03,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
2,0.35,0.04,0.31,0.47,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
3,0.85,0.75,0.31,0.92,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
4,1.66,0.82,0.31,1.00,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
5,2.65,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
6,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
7,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
8,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
9,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
10,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
11,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
12,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
13,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
14,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
15,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
16,3.85,1.00,0.31,0.95,O.flounder-SE,201961,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
2,0.30,0.00,0.20,0.19,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
3,0.64,0.50,0.20,0.58,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
4,1.07,1.00,0.20,0.88,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
5,1.72,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
6,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
7,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
8,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
9,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
10,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
11,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
12,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
13,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
14,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
15,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
16,3.12,1.00,0.20,1.00,O.flounderN-JS,201962,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,15
2,0.35,0.00,0.21,0.54,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
3,0.83,0.50,0.21,1.11,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
4,1.50,1.00,0.21,1.30,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
5,2.10,1.00,0.21,1.36,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
6,2.95,1.00,0.21,1.14,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
7,3.69,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
8,4.31,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
9,4.31,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
10,4.31,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
11,4.31,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
12,4.31,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
13,4.31,1.00,0.21,1.00,O.flounderW-JS,201963,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,12
2,0.02,0.00,0.35,0.27,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
3,0.06,0.40,0.35,0.79,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
4,0.12,1.00,0.35,1.00,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
5,0.22,1.00,0.35,1.00,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
6,0.22,1.00,0.35,1.00,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
7,0.22,1.00,0.35,1.00,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
8,0.22,1.00,0.35,1.00,RN.flounder-JS,201965,Pleuronectiformes,Pleuronectiformes,Eopsetta,grigorjewi,7
2,0.02,0.00,0.25,0.04,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
3,0.06,0.30,0.25,0.24,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
4,0.09,1.00,0.25,0.71,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
5,0.12,1.00,0.25,1.00,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
6,0.15,1.00,0.25,0.83,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
7,0.19,1.00,0.25,1.22,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
8,0.27,1.00,0.25,1.22,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
9,0.27,1.00,0.25,1.22,W.flounder-NP,201969,Pleuronectiformes,Pleuronectidae,Tanakius,kitaharae,8
2,0.06,0.00,0.30,0.18,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
3,0.10,0.00,0.30,1.21,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
4,0.14,1.00,0.30,1.00,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
5,0.28,1.00,0.30,1.00,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
6,0.2824,1,0.3,1,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
7,0.2824,1,0.3,1,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
8,0.2824,1,0.3,1,P.flounder-JS,FRA-SA2021-BRP-02-3,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,7
1,0.17,0.00,0.19,0.53,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
2,1.02,0.00,0.25,0.54,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
3,1.66,0.00,0.25,0.95,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
4,2.13,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
5,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
6,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
7,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
8,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
9,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
10,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
11,3.35,1.00,0.25,1.00,J.puffer-SE,201973,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
1,0.35,0.00,0.25,0.29,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
2,1.11,0.00,0.25,1.00,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
3,1.86,0.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
4,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
5,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
6,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
7,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
8,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
9,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
10,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
11,3.19,1.00,0.25,0.55,J.puffer-IM,201974,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,10
